model_name,map_index,mean_final_coverage
LiteDARE-L4,72,0.9999068450273876
LiteDARE-L4,73,0.9994434172295386
LiteDARE-L4,74,1.0
LiteDARE-L4,75,0.9999915291566428
LiteDARE-L4,76,0.9996175570722523
LiteDARE-L4,77,0.99583791020184
LiteDARE-L4,78,0.9959509486348912
LiteDARE-L4,79,0.9974994622499462
LiteDARE-L4,80,0.9981267029972752
LiteDARE-L4,81,0.9966090267311811
LiteDARE-L4,82,0.9966237881474216
LiteDARE-L4,83,0.9974640316844487
LiteDARE-L4,84,0.9998253647935424
LiteDARE-L4,85,0.9960113421550094
LiteDARE-L4,86,0.9953047144499808
LiteDARE-L4,87,0.9998484060984061
LiteDARE-L4,88,0.9976090793416246
LiteDARE-L4,89,0.998371273089599
LiteDARE-L4,90,0.9958801772439301
LiteDARE-L4,91,1.0
LiteDARE-L4,92,0.9969636001181335
LiteDARE-L4,93,0.9960270081106674
LiteDARE-L4,94,0.99756656440556
LiteDARE-L4,95,0.9980957451165077
LiteDARE-L4,96,0.9996488614598851
LiteDARE-L4,97,0.9944679072632089
LiteDARE-L4,98,1.0
LiteDARE-L4,99,0.9976250848183994
