descriptor,team_size,method_role_normalised,stratum,metric,n,mean,median
map_obstacle_ratio,8,full,high,coverage_auc,132,0.848587123478092,0.850201512279293
map_obstacle_ratio,8,full,high,reached_95_rate,132,1.0,1.0
map_obstacle_ratio,8,full,high,steps_to_95_conditional,132,9.340909090909092,8.0
map_obstacle_ratio,8,full,high,trajectory_overlap_ratio,132,0.17974441963075902,0.17417279411764705
map_obstacle_ratio,8,full,high,team_travel_distance_recorded,132,741.5854451331226,710.5385065078735
map_obstacle_ratio,8,full,high,team_path_per_robot,132,92.69818064164032,88.81731331348419
map_obstacle_ratio,8,full,high,actual_collision_pairs,132,0.0,0.0
map_obstacle_ratio,8,full,high,collisions_per_robot_pair,132,0.0,0.0
map_obstacle_ratio,8,full,high,deadlock_duration_robot_steps,132,0.007575757575757576,0.0
map_obstacle_ratio,8,map_only,low,final_coverage,136,0.9975832583531657,0.9996978638243477
map_obstacle_ratio,8,map_only,low,coverage_auc,136,0.8355155717677039,0.8406716732711476
map_obstacle_ratio,8,map_only,low,reached_95_rate,136,1.0,1.0
map_obstacle_ratio,8,map_only,low,steps_to_95_conditional,136,19.294117647058822,16.0
map_obstacle_ratio,8,map_only,low,trajectory_overlap_ratio,136,0.31619889180536426,0.32305045871559634
map_obstacle_ratio,8,map_only,low,team_travel_distance_recorded,136,1093.7490270278033,1035.168385028839
map_obstacle_ratio,8,map_only,low,team_path_per_robot,136,136.71862837847542,129.3960481286049
map_obstacle_ratio,8,map_only,low,actual_collision_pairs,136,2.3970588235294117,1.0
map_obstacle_ratio,8,map_only,low,collisions_per_robot_pair,136,0.08560924369747899,0.03571428571428571
map_obstacle_ratio,8,map_only,low,deadlock_duration_robot_steps,136,2.2794117647058822,0.0
map_obstacle_ratio,8,map_only,medium,final_coverage,132,0.9967954755062717,0.9974701999384992
map_obstacle_ratio,8,map_only,medium,coverage_auc,132,0.8329436029023889,0.8399840481185815
map_obstacle_ratio,8,map_only,medium,reached_95_rate,132,1.0,1.0
map_obstacle_ratio,8,map_only,medium,steps_to_95_conditional,132,18.522727272727273,17.0
map_obstacle_ratio,8,map_only,medium,trajectory_overlap_ratio,132,0.2996472732369038,0.29707369388693117
map_obstacle_ratio,8,map_only,medium,team_travel_distance_recorded,132,1042.0378079233747,980.3681535720825
map_obstacle_ratio,8,map_only,medium,team_path_per_robot,132,130.25472599042183,122.54601919651031
map_obstacle_ratio,8,map_only,medium,actual_collision_pairs,132,1.9166666666666667,0.0
map_obstacle_ratio,8,map_only,medium,collisions_per_robot_pair,132,0.06845238095238095,0.0
map_obstacle_ratio,8,map_only,medium,deadlock_duration_robot_steps,132,1.4090909090909092,0.0
map_obstacle_ratio,8,map_only,high,final_coverage,132,0.9973314697002821,0.9989622314622315
map_obstacle_ratio,8,map_only,high,coverage_auc,132,0.8464792072939774,0.8473743849711386
map_obstacle_ratio,8,map_only,high,reached_95_rate,132,1.0,1.0
map_obstacle_ratio,8,map_only,high,steps_to_95_conditional,132,15.515151515151516,13.0
map_obstacle_ratio,8,map_only,high,trajectory_overlap_ratio,132,0.28506377129492216,0.27267156862745096
map_obstacle_ratio,8,map_only,high,team_travel_distance_recorded,132,913.4438743193945,834.140852689743
map_obstacle_ratio,8,map_only,high,team_path_per_robot,132,114.18048428992431,104.26760658621788
map_obstacle_ratio,8,map_only,high,actual_collision_pairs,132,1.0833333333333333,0.0
map_obstacle_ratio,8,map_only,high,collisions_per_robot_pair,132,0.038690476190476185,0.0
map_obstacle_ratio,8,map_only,high,deadlock_duration_robot_steps,132,0.8181818181818182,0.0
