descriptor,team_size,communication_mode,stratum,metric,n,mean,median
map_obstacle_ratio,6,compressed,high,communication_packets_recorded,132,88.8409090909091,77.0
map_obstacle_ratio,6,compressed,high,packets_per_robot,132,14.806818181818182,12.833333333333334
map_obstacle_ratio,6,compressed,high,map_retransmission_packets,90,0.0,0.0
map_obstacle_ratio,6,compressed,high,retransmission_rate,90,0.0,0.0
map_obstacle_ratio,6,none,low,final_coverage,136,0.997388659138235,0.9988145513817884
map_obstacle_ratio,6,none,low,coverage_auc,136,0.8247139864130971,0.8221590206529157
map_obstacle_ratio,6,none,low,mean_robot_map_free_iou,136,0.5885393323820596,0.5787099432051088
map_obstacle_ratio,6,none,low,reached_95_rate,136,1.0,1.0
map_obstacle_ratio,6,none,low,steps_to_95_conditional,136,27.323529411764707,22.5
map_obstacle_ratio,6,none,low,map_payload_kib,136,0.0,0.0
map_obstacle_ratio,6,none,low,map_payload_kib_per_robot,136,0.0,0.0
map_obstacle_ratio,6,none,low,communication_packets_recorded,136,0.0,0.0
map_obstacle_ratio,6,none,low,packets_per_robot,136,0.0,0.0
map_obstacle_ratio,6,none,low,map_retransmission_packets,136,0.0,0.0
map_obstacle_ratio,6,none,medium,final_coverage,132,0.9975548217339726,0.998919342027782
map_obstacle_ratio,6,none,medium,coverage_auc,132,0.8266191047857575,0.8271256732877866
map_obstacle_ratio,6,none,medium,mean_robot_map_free_iou,132,0.5882994815233605,0.5665306731300004
map_obstacle_ratio,6,none,medium,reached_95_rate,132,1.0,1.0
map_obstacle_ratio,6,none,medium,steps_to_95_conditional,132,27.151515151515152,23.0
map_obstacle_ratio,6,none,medium,map_payload_kib,132,0.0,0.0
map_obstacle_ratio,6,none,medium,map_payload_kib_per_robot,132,0.0,0.0
map_obstacle_ratio,6,none,medium,communication_packets_recorded,132,0.0,0.0
map_obstacle_ratio,6,none,medium,packets_per_robot,132,0.0,0.0
map_obstacle_ratio,6,none,medium,map_retransmission_packets,132,0.0,0.0
map_obstacle_ratio,6,none,high,final_coverage,132,0.9970449056832492,0.9985793367775657
map_obstacle_ratio,6,none,high,coverage_auc,132,0.829249189512314,0.8363731438759081
map_obstacle_ratio,6,none,high,mean_robot_map_free_iou,132,0.5748776933938498,0.5499021188393445
map_obstacle_ratio,6,none,high,reached_95_rate,132,1.0,1.0
map_obstacle_ratio,6,none,high,steps_to_95_conditional,132,22.71212121212121,18.5
map_obstacle_ratio,6,none,high,map_payload_kib,132,0.0,0.0
map_obstacle_ratio,6,none,high,map_payload_kib_per_robot,132,0.0,0.0
map_obstacle_ratio,6,none,high,communication_packets_recorded,132,0.0,0.0
map_obstacle_ratio,6,none,high,packets_per_robot,132,0.0,0.0
map_obstacle_ratio,6,none,high,map_retransmission_packets,132,0.0,0.0
map_obstacle_ratio,6,raw,low,final_coverage,136,0.9976090475670392,0.9988731275579563
map_obstacle_ratio,6,raw,low,coverage_auc,136,0.8008937442695213,0.8053303444422812
map_obstacle_ratio,6,raw,low,mean_robot_map_free_iou,136,0.6653245487261663,0.6891239395734579
map_obstacle_ratio,6,raw,low,reached_95_rate,136,1.0,1.0
map_obstacle_ratio,6,raw,low,steps_to_95_conditional,136,15.551470588235293,14.0
map_obstacle_ratio,6,raw,low,map_payload_kib,136,3423.9204963235293,2509.34033203125
map_obstacle_ratio,6,raw,low,map_payload_kib_per_robot,136,570.6534160539217,418.223388671875
map_obstacle_ratio,6,raw,low,communication_packets_recorded,136,102.04411764705883,79.5
map_obstacle_ratio,6,raw,low,packets_per_robot,136,17.00735294117647,13.25
map_obstacle_ratio,6,raw,low,map_retransmission_packets,136,0.0,0.0
map_obstacle_ratio,6,raw,low,retransmission_rate,135,0.0,0.0
map_obstacle_ratio,6,raw,medium,final_coverage,132,0.9975509273295424,0.9990355441928302
map_obstacle_ratio,6,raw,medium,coverage_auc,132,0.8001806546840502,0.8004595964414868
map_obstacle_ratio,6,raw,medium,mean_robot_map_free_iou,132,0.6880186241012582,0.7185270359571782
map_obstacle_ratio,6,raw,medium,reached_95_rate,132,1.0,1.0
map_obstacle_ratio,6,raw,medium,steps_to_95_conditional,132,15.621212121212121,14.5
map_obstacle_ratio,6,raw,medium,map_payload_kib,132,3089.8433948863635,2459.88818359375
map_obstacle_ratio,6,raw,medium,map_payload_kib_per_robot,132,514.9738991477273,409.98136393229163
map_obstacle_ratio,6,raw,medium,communication_packets_recorded,132,102.68181818181819,89.0
map_obstacle_ratio,6,raw,medium,packets_per_robot,132,17.113636363636363,14.833333333333332
map_obstacle_ratio,6,raw,medium,map_retransmission_packets,132,0.0,0.0
map_obstacle_ratio,6,raw,medium,retransmission_rate,132,0.0,0.0
map_obstacle_ratio,6,raw,high,final_coverage,132,0.996888071195065,0.9978050885651949
map_obstacle_ratio,6,raw,high,coverage_auc,132,0.8012540668235223,0.8009777531228579
map_obstacle_ratio,6,raw,high,mean_robot_map_free_iou,132,0.6313878614116718,0.6383895393626555
map_obstacle_ratio,6,raw,high,reached_95_rate,132,1.0,1.0
map_obstacle_ratio,6,raw,high,steps_to_95_conditional,132,13.931818181818182,14.0
map_obstacle_ratio,6,raw,high,map_payload_kib,132,2446.1637739701705,1660.3525390625
map_obstacle_ratio,6,raw,high,map_payload_kib_per_robot,132,407.69396232836175,276.7254231770833
map_obstacle_ratio,6,raw,high,communication_packets_recorded,132,88.8409090909091,77.0
map_obstacle_ratio,6,raw,high,packets_per_robot,132,14.806818181818182,12.833333333333334
map_obstacle_ratio,6,raw,high,map_retransmission_packets,132,0.0,0.0
map_obstacle_ratio,6,raw,high,retransmission_rate,132,0.0,0.0
map_obstacle_ratio,8,compressed,low,final_coverage,136,0.9973966989149661,0.9989693143346274
map_obstacle_ratio,8,compressed,low,coverage_auc,136,0.8360740553696839,0.8410925545050606
map_obstacle_ratio,8,compressed,low,mean_robot_map_free_iou,136,0.6234863963529552,0.6025472693305955
map_obstacle_ratio,8,compressed,low,reached_95_rate,136,1.0,1.0
map_obstacle_ratio,8,compressed,low,steps_to_95_conditional,136,11.433823529411764,11.0
map_obstacle_ratio,8,compressed,low,map_payload_kib,136,1315.072265625,1148.626953125
map_obstacle_ratio,8,compressed,low,map_payload_kib_per_robot,136,164.384033203125,143.578369140625
map_obstacle_ratio,8,compressed,low,communication_packets_recorded,136,142.8014705882353,116.5
map_obstacle_ratio,8,compressed,low,packets_per_robot,136,17.850183823529413,14.5625
map_obstacle_ratio,8,compressed,low,map_retransmission_packets,112,0.0,0.0
map_obstacle_ratio,8,compressed,low,retransmission_rate,112,0.0,0.0
map_obstacle_ratio,8,compressed,medium,final_coverage,132,0.9978487358996214,0.9994047953023666
map_obstacle_ratio,8,compressed,medium,coverage_auc,132,0.8335253417232612,0.8282853694810359
map_obstacle_ratio,8,compressed,medium,mean_robot_map_free_iou,132,0.5851176907843679,0.600452477258741
map_obstacle_ratio,8,compressed,medium,reached_95_rate,132,1.0,1.0
map_obstacle_ratio,8,compressed,medium,steps_to_95_conditional,132,10.977272727272727,10.0
map_obstacle_ratio,8,compressed,medium,map_payload_kib,132,1062.803466796875,959.53466796875
map_obstacle_ratio,8,compressed,medium,map_payload_kib_per_robot,132,132.85043334960938,119.94183349609375
map_obstacle_ratio,8,compressed,medium,communication_packets_recorded,132,122.59848484848484,112.5
